Sales Year,Year Built,Average Sales Price,Dec 16 CPI Adjusted,
2016,Pre 1945,"$1,054,053","$1,054,053",
2016,1945-1950,"$891,158","$891,158",
2016,1951-1960,"$969,910","$969,910",
2016,1961-1970,"$1,093,921","$1,093,921",
2016,1971-1980,"$1,021,594","$1,021,594",
2016,1981-1990,"$1,284,464","$1,284,464",
2016,1991-2000,"$1,397,047","$1,397,047",
2016,2001-2010,"$1,632,893","$1,632,893",
2016,2010-2016,"$1,943,157","$1,943,157",
2015,Pre 1945,"$1,056,796","$1,076,481",
2015,1945-1950,"$879,285 ","$895,664",
2015,1951-1960,"$950,487 ","$968,192",
2015,1961-1970,"$1,002,950 ","$1,021,632",
2015,1971-1980,"$925,007 ","$942,237",
2015,1981-1990,"$1,243,590 ","$1,266,755",
2015,1991-2000,"$1,450,588 ","$1,477,609",
2015,2001-2010,"$1,717,948 ","$1,749,949",
2015,2010-2016,"$1,634,770 ","$1,665,221",
2014,Pre 1945,"$998,412 ","$1,018,217",
2014,1945-1950,"$821,240 ","$837,530",
2014,1951-1960,"$815,867 ","$832,051",
2014,1961-1970,"$967,319 ","$986,507",
2014,1971-1980,"$1,049,846 ","$1,070,671",
2014,1981-1990,"$1,145,054 ","$1,167,768",
2014,1991-2000,"$1,320,488 ","$1,346,682",
2014,2001-2010,"$1,548,871 ","$1,579,595",
2014,2010-2016,"$1,669,810 ","$1,702,933",
2013,Pre 1945,"$885,797 ","$918,022",
2013,1945-1950,"$767,931 ","$795,868",
2013,1951-1960,"$811,590 ","$841,116",
2013,1961-1970,"$845,117 ","$875,862",
2013,1971-1980,"$939,241 ","$973,411",
2013,1981-1990,"$1,153,333 ","$1,195,291",
2013,1991-2000,"$1,234,746 ","$1,279,666",
2013,2001-2010,"$1,462,871 ","$1,516,090",
2013,2010-2016,"$1,436,069 ","$1,488,313",
2012,Pre 1945,"$825,209 ","$867,757",
2012,1945-1950,"$732,696 ","$770,474",
2012,1951-1960,"$703,523 ","$739,797",
2012,1961-1970,"$769,510 ","$809,186",
2012,1971-1980,"$910,706 ","$957,663",
2012,1981-1990,"$1,133,350 ","$1,191,786",
2012,1991-2000,"$1,277,620 ","$1,343,495",
2012,2001-2010,"$1,355,641 ","$1,425,539",
2012,2010-2016,"$1,474,011 ","$1,550,012",
2011,Pre 1945,"$843,379 ","$905,217",
2011,1945-1950,"$662,469 ","$711,043",
2011,1951-1960,"$657,999 ","$706,245",
2011,1961-1970,"$761,395 ","$817,222",
2011,1971-1980,"$832,631 ","$893,681",
2011,1981-1990,"$1,018,812 ","$1,093,513",
2011,1991-2000,"$1,276,307 ","$1,369,889",
2011,2001-2010,"$1,484,118 ","$1,592,937",
2011,2010-2016,"$1,282,574 ","$1,376,615",
